scholarship_id,university_id,name,level,eligibility,award_type,award_value,currency,deadline,requirements,description,url
S_IRL005_01,IRL005,Griffith College International Merit Scholarship,UG,Non-EU applicants,Tuition Reduction,500.00-1500.00,EUR,2026-08-31,Minimum 2.1 honors equivalent or high school average of 70%+.,Automatically assessed at the time of application based on prior academic results.,www.griffith.ie
S_IRL005_01,IRL005,Griffith College International Merit Scholarship,PG,Non-EU applicants,Tuition Reduction,500.00-1500.00,EUR,2026-08-31,Minimum 2.1 honors equivalent or high school average of 70%+.,Automatically assessed at the time of application based on prior academic results.,www.griffith.ie
S_IRL005_02_UG,IRL005,Griffith College Sibling Discount,UG,Siblings of current/former students,Tuition Reduction,1000,EUR,2026-09-30,Proof of relationship; both students must be enrolled or have graduated from Griffith.,A family-based discount to support multiple members of the same family studying at the college.,www.griffith.ie
S_IRL005_02_PG,IRL005,Griffith College Sibling Discount,PG,Siblings of current/former students,Tuition Reduction,1000,EUR,2026-09-30,Proof of relationship; both students must be enrolled or have graduated from Griffith.,A family-based discount to support multiple members of the same family studying at the college.,www.griffith.ie
S_IRL005_03,IRL005,Griffith College High Achiever Scholarship,UG,Non-EU high school leavers,Tuition Reduction,2000,EUR,2026-06-30,High school results exceeding 85% average; Personal statement.,Specifically for top-tier international high school graduates entering undergraduate year 1.,www.griffith.ie
S_IRL006_01_UG,IRL006,DBS International Student Scholarship,UG,Non-EU applicants,Tuition Reduction,500.00-1000.00,EUR,2026-08-15,Full payment of the remaining fee balance; valid offer holder.,A partial tuition reduction offered to international students to assist with the cost of living in Dublin.,www.dbs.ie
S_IRL006_01_PG,IRL006,DBS International Student Scholarship,PG,Non-EU applicants,Tuition Reduction,500.00-1000.00,EUR,2026-08-15,Full payment of the remaining fee balance; valid offer holder.,A partial tuition reduction offered to international students to assist with the cost of living in Dublin.,www.dbs.ie
S_IRL006_02,IRL006,DBS Postgraduate Merit Scholarship,PG,Applicants with 1st Class Honors,Tuition Reduction,1000,EUR,2026-07-31,Proof of 1.1 (First Class Honors) degree; admission to a master's program.,An additional award for top-performing graduates entering postgraduate study at DBS.,www.dbs.ie
S_IRL007_01_UG,IRL007,DKIT International Accommodation Scholarship,UG,Non-EU students,Accommodation Credit,1000.00-2000.00,EUR,2026-06-30,Final offer holder; full tuition fee payment; first-year students only.,A specific grant applied to campus-affiliated accommodation costs to reduce living expenses.,www.dkit.ie
S_IRL007_01_PG,IRL007,DKIT International Accommodation Scholarship,PG,Non-EU students,Accommodation Credit,1000.00-2000.00,EUR,2026-06-30,Final offer holder; full tuition fee payment; first-year students only.,A specific grant applied to campus-affiliated accommodation costs to reduce living expenses.,www.dkit.ie
S_IRL007_02_UG,IRL007,DKIT Academic Merit Scholarship,UG,Non-EU students,Tuition Reduction,500.00-1000.00,EUR,2026-08-31,Automatic assessment based on high school results.,Awarded automatically to qualifying international students at the point of offer.,www.dkit.ie
S_IRL007_02_PG,IRL007,DKIT Academic Merit Scholarship,PG,Non-EU students,Tuition Reduction,500.00-1000.00,EUR,2026-08-31,Automatic assessment based on degree results (minimum 65%+ average).,Awarded automatically to qualifying international students at the point of offer.,www.dkit.ie
S_IRL008_01,IRL008,NCAD Masters Scholarship,PG,All MA/MFA applicants,Tuition Reduction,2000.00-5000.00,EUR,2026-05-15,Outstanding portfolio score; 2.1 honors degree; admission to MFA/MA programs.,Merit-based tuition reduction for elite creative practitioners entering postgraduate study.,www.ncad.ie
S_IRL008_02,IRL008,NCAD International Student Fellowship,UG,Non-EU applicants,Tuition Reduction,2500,EUR,2026-03-31,Top-tier portfolio ranking; academic transcripts; personal statement.,Competitive fellowship awarded to international undergraduate students with exceptional artistic talent.,www.ncad.ie
S_IRL009_01,IRL009,UCC Quercus Entrance Scholarship,UG,EU/International (Leaving Cert/A-Levels),Cash Award,2000,EUR,2026-08-30,Top academic performance in secondary school leaving exams; automatic for UCC entrants.,Awards based on exceptional performance in state examinations for incoming first-year students.,www.ucc.ie
S_IRL009_02_UG,IRL009,UCC International Student Merit Scholarship,UG,Non-EU students,Tuition Reduction,1000.00-3000.00,EUR,2026-05-31,GPA equivalent of 3.3/4.0; admission to UCC.,Automatic fee reduction for high-achieving non-EU students; value depends on the faculty of study.,www.ucc.ie
S_IRL009_02_PG,IRL009,UCC International Student Merit Scholarship,PG,Non-EU students,Tuition Reduction,1000.00-3000.00,EUR,2026-05-31,GPA 2.1 honors equivalent; admission to UCC.,Automatic fee reduction for high-achieving non-EU students; value depends on the faculty of study.,www.ucc.ie
S_IRL009_03,IRL009,UCC Excellence Scholarship (College of Arts/Business),PG,Non-EU Students,Tuition Reduction,5000,EUR,2026-04-15,High academic merit; separate application form; 1st class honors equivalent.,Strategic merit scholarship for top international master's candidates in selected colleges.,www.ucc.ie
S_IRL010_01_UG,IRL010,Dorset College International Bursary,UG,Non-EU applicants,Tuition Reduction,1000.00-2000.00,EUR,2026-08-31,Admission to Business/IT programs; High school results 65%+.,Automatic fee reduction applied to international fees for first-year entrants.,dorset.ie
S_IRL010_01_PG,IRL010,Dorset College International Bursary,PG,Non-EU applicants,Tuition Reduction,1000.00-2000.00,EUR,2026-08-31,Admission to Business/IT programs; degree results 65%+.,Automatic fee reduction applied to international fees for first-year entrants.,dorset.ie
S_IRL010_02_UG,IRL010,Dorset College Early Bird Discount,UG,All applicants,Tuition Reduction,500,EUR,2026-05-31,Full fee payment before deadline; valid offer holder.,Discount for students who finalize their registration and payments before the summer.,dorset.ie
S_IRL010_02_PG,IRL010,Dorset College Early Bird Discount,PG,All applicants,Tuition Reduction,500,EUR,2026-05-31,Full fee payment before deadline; valid offer holder.,Discount for students who finalize their registration and payments before the summer.,dorset.ie
S_IRL011_01,IRL011,Global Galway Undergraduate Excellence,UG,Non-EU students (Except Medicine/Dental),Tuition Reduction,2000.00-10000.00,EUR,2026-05-01,Personal statement (500 words); GPA 3.5/4.0 or equivalent.,Flagship merit award for top-tier international undergraduate candidates.,www.universityofgalway.ie
S_IRL011_02,IRL011,Global Galway Postgraduate Merit Scholarship,PG,Non-EU students,Tuition Reduction,2000.00-5000.00,EUR,2026-06-15,Automatic assessment; based on 2.1 honors degree equivalent.,Merit-based fee reduction for international taught master's students.,www.universityofgalway.ie
S_IRL011_03,IRL011,Business School International Excellence Award,PG,MSc Business/Accounting applicants,Tuition Reduction,2500.00-5000.00,EUR,2026-05-31,1st class honors degree; strong GMAT (if applicable); separate essay.,Specific awards for the J.E. Cairnes School of Business & Economics.,www.universityofgalway.ie
S_IRL011_04,IRL011,Hardiman Research Scholarship,PG,PhD applicants only,Stipend + Fees,19000,EUR,2026-02-14,First-class honours; detailed research proposal; supervisor support.,Elite funding for PhD researchers covering full fees and a living stipend.,www.universityofgalway.ie
S_IRL011_05_UG,IRL011,South Asian Student Scholarship,UG,Students from India/Pakistan/Bangladesh/Sri Lanka,Tuition Reduction,3000,EUR,2026-05-01,Regional residency; academic merit; offer from University of Galway.,Targeted regional award to increase diversity from the South Asian subcontinent.,www.universityofgalway.ie
S_IRL011_05_PG,IRL011,South Asian Student Scholarship,PG,Students from India/Pakistan/Bangladesh/Sri Lanka,Tuition Reduction,3000,EUR,2026-05-01,Regional residency; academic merit; offer from University of Galway.,Targeted regional award to increase diversity from the South Asian subcontinent.,www.universityofgalway.ie
S_IRL012_01_UG,IRL012,MTU International Merit Scholarship,UG,Non-EU applicants (Cork/Kerry),Tuition Reduction,1000.00-2500.00,EUR,2026-06-30,GPA 3.0/4.0; offer for a full-time program.,Fee reduction for international students demonstrating strong academic or community leadership.,www.mtu.ie
S_IRL012_01_PG,IRL012,MTU International Merit Scholarship,PG,Non-EU applicants (Cork/Kerry),Tuition Reduction,1000.00-2500.00,EUR,2026-06-30,2.1 honors degree equivalent; offer for a full-time program.,Fee reduction for international students demonstrating strong academic or community leadership.,www.mtu.ie
S_IRL012_02,IRL012,MTU Ríomh Academcy STEM Scholarship,UG,STEM students at MTU Kerry,Tuition Reduction,1500,EUR,2026-08-31,Admission to Computing/Engineering at Kerry campus; academic merit.,Supports students entering technology disciplines at the Kerry campus.,www.mtu.ie
S_IRL012_03_UG,IRL012,MTU Sport Scholarship,UG,All students (Athletes),Cash Award,500.00-2000.00,EUR,2026-10-01,National/International level athletic performance.,Assists elite athletes in balancing sports performance with their degree studies.,www.mtu.ie
S_IRL012_03_PG,IRL012,MTU Sport Scholarship,PG,All students (Athletes),Cash Award,500.00-2000.00,EUR,2026-10-01,National/International level athletic performance.,Assists elite athletes in balancing sports performance with their degree studies.,www.mtu.ie
S_IRL011_06,IRL011,College of Medicine,PG,Non-EU Health Science master's,Tuition Reduction,2000,EUR,2026-04-30,Admission to Health Science master's; professional experience.,Merit award for international health professionals advancing their clinical education.,www.universityofgalway.ie
S_IRL013_01_UG,IRL013,ATU International Scholarship,UG,Non-EU students,Tuition Reduction,1000.00-2000.00,EUR,2026-06-30,Final offer holder; high school equivalent (60%+).,Automatic tuition fee reduction for international students based on academic merit.,www.atu.ie
S_IRL013_01_PG,IRL013,ATU International Scholarship,PG,Non-EU students,Tuition Reduction,1000.00-2000.00,EUR,2026-06-30,Final offer holder; 2.1 honors degree equivalent.,Automatic tuition fee reduction for international students based on academic merit.,www.atu.ie
S_IRL013_02,IRL013,ATU Donegal Civic Engagement Scholarship,UG,All first-year students,Cash Award,1000,EUR,2026-10-31,Evidence of community service or leadership; essay submission.,Awarded to students who have demonstrated significant impact in their local community.,www.atu.ie
S_IRL013_03,IRL013,ATU Donegal Progression Scholarship,UG,Current ATU students,Tuition Reduction,500,EUR,2026-09-15,Completion of year 1-3 with 2.1 average; progression to next year.,Supports student retention by rewarding consistent academic performance during the degree.,www.atu.ie
S_IRL014_01_UG,IRL014,CCT International Student Grant,UG,Non-EU applicants,Tuition Reduction,1000.00-1500.00,EUR,2026-08-31,Admission to ICT or Business programs; full payment of balance.,A standard grant to support international students entering technical and business disciplines.,www.cct.ie
S_IRL014_01_PG,IRL014,CCT International Student Grant,PG,Non-EU applicants,Tuition Reduction,1000.00-1500.00,EUR,2026-08-31,Admission to ICT or Business programs; full payment of balance.,A standard grant to support international students entering technical and business disciplines.,www.cct.ie
S_IRL014_02_UG,IRL014,CCT Early Payment Bursary,UG,All international students,Tuition Reduction,500,EUR,2026-05-31,Full tuition fee payment received by the college before May 31st.,Reward for students who finalize their financial registration early in the cycle.,www.cct.ie
S_IRL014_02_PG,IRL014,CCT Early Payment Bursary,PG,All international students,Tuition Reduction,500,EUR,2026-05-31,Full tuition fee payment received by the college before May 31st.,Reward for students who finalize their financial registration early in the cycle.,www.cct.ie
S_IRL014_03,IRL014,CCT Academic Excellence Scholarship,UG,Top performing Year 1 students,Tuition Reduction,1000,EUR,2026-11-30,Highest GPA in first-year exams within the faculty.,Awarded to the top student in each faculty based on their first-year results at CCT.,www.cct.ie
S_IRL015_01,IRL015,UL International Undergraduate Merit Scholarship,UG,Non-EU students,Tuition Reduction,1500.00-4000.00,EUR,2026-07-01,Automatic assessment; high school results.,Generous annual reduction based on academic achievement for the duration of the degree.,www.ul.ie
S_IRL015_02,IRL015,UL International Postgraduate Merit Scholarship,PG,Non-EU students,Tuition Reduction,2000.00-4000.00,EUR,2026-07-01,1st or 2.1 degree honors; automatic assessment at point of offer.,Merit-based fee reduction for high-achieving taught master's applicants.,www.ul.ie
S_IRL016_01_UG,IRL016,MIC International Merit Scholarship,UG,Non-EU students,Tuition Reduction,1000.00-2000.00,EUR,2026-05-31,Admission to MIC; academic transcripts.,Supports international students pursuing education or liberal arts at Mary Immaculate College.,www.mic.ul.ie
S_IRL016_01_PG,IRL016,MIC International Merit Scholarship,PG,Non-EU students,Tuition Reduction,1000.00-2000.00,EUR,2026-05-31,Admission to MIC; academic transcripts.,Supports international students pursuing education or liberal arts at Mary Immaculate College.,www.mic.ul.ie
S_IRL017_01,IRL017,RCSI International Pharmacy Scholarship,UG,Non-EU Pharmacy applicants,Tuition Reduction,5000.00-7000.00,EUR,2026-04-30,Outstanding high school results; interview; separate scholarship application.,Targeted merit award for international students entering the 5-year MPharm program.,www.rcsi.com
S_IRL017_02,IRL017,RCSI Consilio Manuque Scholarship,UG,EU Medicine applicants (Low income),Financial Support,25000,EUR,2026-06-01,CAO applicant; HEAR/DARE eligibility; financial hardship proof.,A life-changing grant covering living costs and equipment for disadvantaged medical students.,www.rcsi.com
S_IRL018_01_UG,IRL018,Maynooth International Excellence Scholarship,UG,Non-EU students,Tuition Reduction,2000.00-5000.00,EUR,2026-03-15,GPA 3.0+ equivalent; offer holder.,Competitive university-wide award for top international applicants across all disciplines.,www.maynoothuniversity.ie
S_IRL018_01_PG,IRL018,Maynooth International Excellence Scholarship,PG,Non-EU students,Tuition Reduction,2000.00-5000.00,EUR,2026-03-15,GPA 3.0+ equivalent; offer holder.,Competitive university-wide award for top international applicants across all disciplines.,www.maynoothuniversity.ie
S_IRL018_02,IRL018,Maynooth Taught Master's Scholarship (EU),PG,EU students,Tuition Reduction,2000,EUR,2026-06-30,1st class honors (1.1) in undergraduate degree.,Awarded to high-achieving EU students embarking on full-time master's study.,www.maynoothuniversity.ie
S_IRL019_01_UG,IRL019,IADT International Student Fellowship,UG,Non-EU students,Tuition Reduction,1000.00-2500.00,EUR,2026-05-31,High portfolio score; academic transcript.,"Recognizes creative excellence and academic potential in film, art, and design.",iadt.ie
S_IRL019_01_PG,IRL019,IADT International Student Fellowship,PG,Non-EU students,Tuition Reduction,1000.00-2500.00,EUR,2026-05-31,High portfolio score; academic transcript.,"Recognizes creative excellence and academic potential in film, art, and design.",iadt.ie
S_IRL020_01_UG,IRL020,DCU International Merit Scholarship,UG,Non-EU students,Tuition Reduction,1000.00-2000.00,EUR,2026-07-01,Automatic assessment; based on academic excellence.,Awarded to high-achieving international students to foster global diversity at DCU.,www.dcu.ie
S_IRL020_01_PG,IRL020,DCU International Merit Scholarship,PG,Non-EU students,Tuition Reduction,1000.00-2000.00,EUR,2026-07-01,Automatic assessment; based on academic excellence.,Awarded to high-achieving international students to foster global diversity at DCU.,www.dcu.ie
S_IRL021_01,IRL021,NCI International Master’s Scholarship,PG,Non-EU students (Master's),Tuition Reduction,2000.00-4000.00,EUR,2026-08-31,GPA 3.0+; automatic assessment; based on undergraduate degree results.,Significant fee reduction to support international specialization in Business and Computing.,www.ncirl.ie
S_IRL022_01_UG,IRL022,ATU Regional Merit Scholarship,UG,Non-EU (Specific Regions),Tuition Reduction,1000.00-2000.00,EUR,2026-06-30,Automatic assessment; 60%+ average in prior studies.,Standard merit award for international students across the Atlantic Technological University.,www.atu.ie
S_IRL022_01_PG,IRL022,ATU Regional Merit Scholarship,PG,Non-EU (Specific Regions),Tuition Reduction,1000.00-2000.00,EUR,2026-06-30,Automatic assessment; 60%+ average in prior studies.,Standard merit award for international students across the Atlantic Technological University.,www.atu.ie
S_IRL023_01_UG,IRL023,SETU International Student Scholarship,UG,Non-EU students,Tuition Reduction,1000.00-2500.00,EUR,2026-08-31,Conditional/Final offer; GPA 3.0.,Supports international students entering the South East Technological University (Waterford/Carlow).,www.setu.ie
S_IRL023_01_PG,IRL023,SETU International Student Scholarship,PG,Non-EU students,Tuition Reduction,1000.00-2500.00,EUR,2026-08-31,Conditional/Final offer; GPA 3.0.,Supports international students entering the South East Technological University (Waterford/Carlow).,www.setu.ie
S_IRL024_01,IRL024,Carlow College International Bursary,UG,Non-EU applicants,Tuition Reduction,1000,EUR,2026-07-31,Admission to Arts/Humanities; maintenance of academic standing.,A standard tuition reduction to assist international students with private college costs.,carlowcollege.ie
S_IRL025_01_UG,IRL025,St Patrick’s Pontifical Merit Award,UG,Theology/Philosophy students,Tuition Reduction,1000,EUR,2026-05-01,Active involvement in ministry; academic excellence.,A specific award for students advancing in theological and philosophical studies.,sppu.ie
S_IRL025_01_PG,IRL025,St Patrick’s Pontifical Merit Award,PG,Theology/Philosophy students,Tuition Reduction,1000,EUR,2026-05-01,Active involvement in ministry; academic excellence.,A specific award for students advancing in theological and philosophical studies.,sppu.ie
S_IRL026_01_UG,IRL026,TUS International Merit Scholarship,UG,Non-EU applicants,Tuition Reduction,1000.00-3000.00,EUR,2026-06-30,70%+ average in high school exams.,Automatic fee reduction for high-achieving international students at the Technological University of the Shannon.,tus.ie
S_IRL026_01_PG,IRL026,TUS International Merit Scholarship,PG,Non-EU applicants,Tuition Reduction,1000.00-3000.00,EUR,2026-06-30,70%+ average in degree results.,Automatic fee reduction for high-achieving international students at the Technological University of the Shannon.,tus.ie
S_IRL027_01_UG,IRL027,TU Dublin International Student Scholarship,UG,Non-EU students,Tuition Reduction,1000.00-3000.00,EUR,2026-05-31,Minimum GPA 3.0; personal statement.,Merit-based tuition reduction for students entering Ireland's first technological university.,www.tudublin.ie
S_IRL027_01_PG,IRL027,TU Dublin International Student Scholarship,PG,Non-EU students,Tuition Reduction,1000.00-3000.00,EUR,2026-05-31,Minimum GPA 3.0; personal statement.,Merit-based tuition reduction for students entering Ireland's first technological university.,www.tudublin.ie
S_IRL027_02,IRL027,TU Dublin Centenary Scholarship,PG,Non-EU students (Master's),Tuition Reduction,50%,EUR,2026-05-15,1st class honors degree; outstanding leadership potential.,Highly competitive award covering 50% of the tuition fee for exceptional master's candidates.,www.tudublin.ie
